id,commit_sha,files_changed,lines_added,lines_deleted,code_churn,commit_hour,commit_day,is_weekend,large_commit_flag,execution_time,test_result
1,6ec9a10be642e2e146f4be728be25c1fb6f16305,4,114,130,244,19,4,0,0,15,0
2,a4105448c8dd20a5fd9854c9c3ba4f5ddfe83047,2,17,31,48,19,4,0,0,15,1
3,3246040722054e56c00a269cef5c38dda434c5d7,2,39,0,39,19,4,0,0,15,0
4,a0880e634f1a00221bff622fc1396159af67344a,3,82,2,84,19,4,0,0,15,0
5,a27aac54082e89c8736dc866797c3bffb47767f0,1,1,1,2,10,2,0,0,15,0
6,ba82ab778c6901eb0b490cbbbd8f1fe9b3177c80,7,525,0,525,9,2,0,1,15,0
